time,time,G
2024-01-01 00:00:00,2024-01-01 00:00:00,0.0
2024-01-01 01:00:00,2024-01-01 01:00:00,0.0
2024-01-01 02:00:00,2024-01-01 02:00:00,0.0
2024-01-01 03:00:00,2024-01-01 03:00:00,0.0
2024-01-01 04:00:00,2024-01-01 04:00:00,0.0
2024-01-01 05:00:00,2024-01-01 05:00:00,0.0
2024-01-01 06:00:00,2024-01-01 06:00:00,26.38
2024-01-01 07:00:00,2024-01-01 07:00:00,207.23
2024-01-01 08:00:00,2024-01-01 08:00:00,410.5
2024-01-01 09:00:00,2024-01-01 09:00:00,595.85
2024-01-01 10:00:00,2024-01-01 10:00:00,690.3
2024-01-01 11:00:00,2024-01-01 11:00:00,690.42
2024-01-01 12:00:00,2024-01-01 12:00:00,635.35
2024-01-01 13:00:00,2024-01-01 13:00:00,586.9
2024-01-01 14:00:00,2024-01-01 14:00:00,514.17
2024-01-01 15:00:00,2024-01-01 15:00:00,373.17
2024-01-01 16:00:00,2024-01-01 16:00:00,194.45
2024-01-01 17:00:00,2024-01-01 17:00:00,39.33
2024-01-01 18:00:00,2024-01-01 18:00:00,0.0
2024-01-01 19:00:00,2024-01-01 19:00:00,0.0
2024-01-01 20:00:00,2024-01-01 20:00:00,0.0
2024-01-01 21:00:00,2024-01-01 21:00:00,0.0
2024-01-01 22:00:00,2024-01-01 22:00:00,0.0
2024-01-01 23:00:00,2024-01-01 23:00:00,0.0
2024-01-02 00:00:00,2024-01-02 00:00:00,0.0
2024-01-02 01:00:00,2024-01-02 01:00:00,0.0
2024-01-02 02:00:00,2024-01-02 02:00:00,0.0
2024-01-02 03:00:00,2024-01-02 03:00:00,0.0
2024-01-02 04:00:00,2024-01-02 04:00:00,0.0
2024-01-02 05:00:00,2024-01-02 05:00:00,0.0
2024-01-02 06:00:00,2024-01-02 06:00:00,23.52
2024-01-02 07:00:00,2024-01-02 07:00:00,172.27
2024-01-02 08:00:00,2024-01-02 08:00:00,358.73
2024-01-02 09:00:00,2024-01-02 09:00:00,536.92
2024-01-02 10:00:00,2024-01-02 10:00:00,688.72
2024-01-02 11:00:00,2024-01-02 11:00:00,749.33
2024-01-02 12:00:00,2024-01-02 12:00:00,763.2
2024-01-02 13:00:00,2024-01-02 13:00:00,664.22
2024-01-02 14:00:00,2024-01-02 14:00:00,509.23
2024-01-02 15:00:00,2024-01-02 15:00:00,323.98
2024-01-02 16:00:00,2024-01-02 16:00:00,167.75
2024-01-02 17:00:00,2024-01-02 17:00:00,34.45
2024-01-02 18:00:00,2024-01-02 18:00:00,0.0
2024-01-02 19:00:00,2024-01-02 19:00:00,0.0
2024-01-02 20:00:00,2024-01-02 20:00:00,0.0
2024-01-02 21:00:00,2024-01-02 21:00:00,0.0
2024-01-02 22:00:00,2024-01-02 22:00:00,0.0
2024-01-02 23:00:00,2024-01-02 23:00:00,0.0
2024-01-03 00:00:00,2024-01-03 00:00:00,0.0
2024-01-03 01:00:00,2024-01-03 01:00:00,0.0
2024-01-03 02:00:00,2024-01-03 02:00:00,0.0
2024-01-03 03:00:00,2024-01-03 03:00:00,0.0
2024-01-03 04:00:00,2024-01-03 04:00:00,0.0
2024-01-03 05:00:00,2024-01-03 05:00:00,0.0
2024-01-03 06:00:00,2024-01-03 06:00:00,24.3
2024-01-03 07:00:00,2024-01-03 07:00:00,207.82
2024-01-03 08:00:00,2024-01-03 08:00:00,432.65
2024-01-03 09:00:00,2024-01-03 09:00:00,640.03
2024-01-03 10:00:00,2024-01-03 10:00:00,776.78
2024-01-03 11:00:00,2024-01-03 11:00:00,833.15
2024-01-03 12:00:00,2024-01-03 12:00:00,836.03
2024-01-03 13:00:00,2024-01-03 13:00:00,784.1
2024-01-03 14:00:00,2024-01-03 14:00:00,636.83
2024-01-03 15:00:00,2024-01-03 15:00:00,449.08
2024-01-03 16:00:00,2024-01-03 16:00:00,243.73
2024-01-03 17:00:00,2024-01-03 17:00:00,52.95
2024-01-03 18:00:00,2024-01-03 18:00:00,0.0
2024-01-03 19:00:00,2024-01-03 19:00:00,0.0
2024-01-03 20:00:00,2024-01-03 20:00:00,0.0
2024-01-03 21:00:00,2024-01-03 21:00:00,0.0
2024-01-03 22:00:00,2024-01-03 22:00:00,0.0
2024-01-03 23:00:00,2024-01-03 23:00:00,0.0
2024-01-04 00:00:00,2024-01-04 00:00:00,0.0
2024-01-04 01:00:00,2024-01-04 01:00:00,0.0
2024-01-04 02:00:00,2024-01-04 02:00:00,0.0
2024-01-04 03:00:00,2024-01-04 03:00:00,0.0
2024-01-04 04:00:00,2024-01-04 04:00:00,0.0
2024-01-04 05:00:00,2024-01-04 05:00:00,0.0
2024-01-04 06:00:00,2024-01-04 06:00:00,24.7
2024-01-04 07:00:00,2024-01-04 07:00:00,205.15
2024-01-04 08:00:00,2024-01-04 08:00:00,417.77
2024-01-04 09:00:00,2024-01-04 09:00:00,635.15
2024-01-04 10:00:00,2024-01-04 10:00:00,805.2
2024-01-04 11:00:00,2024-01-04 11:00:00,881.42
2024-01-04 12:00:00,2024-01-04 12:00:00,864.45
2024-01-04 13:00:00,2024-01-04 13:00:00,771.97
2024-01-04 14:00:00,2024-01-04 14:00:00,642.53
2024-01-04 15:00:00,2024-01-04 15:00:00,421.17
2024-01-04 16:00:00,2024-01-04 16:00:00,229.73
2024-01-04 17:00:00,2024-01-04 17:00:00,53.15
2024-01-04 18:00:00,2024-01-04 18:00:00,0.0
2024-01-04 19:00:00,2024-01-04 19:00:00,0.0
2024-01-04 20:00:00,2024-01-04 20:00:00,0.0
2024-01-04 21:00:00,2024-01-04 21:00:00,0.0
2024-01-04 22:00:00,2024-01-04 22:00:00,0.0
2024-01-04 23:00:00,2024-01-04 23:00:00,0.0
2024-01-05 00:00:00,2024-01-05 00:00:00,0.0
2024-01-05 01:00:00,2024-01-05 01:00:00,0.0
2024-01-05 02:00:00,2024-01-05 02:00:00,0.0
2024-01-05 03:00:00,2024-01-05 03:00:00,0.0
2024-01-05 04:00:00,2024-01-05 04:00:00,0.0
2024-01-05 05:00:00,2024-01-05 05:00:00,0.0
2024-01-05 06:00:00,2024-01-05 06:00:00,28.12
2024-01-05 07:00:00,2024-01-05 07:00:00,223.3
2024-01-05 08:00:00,2024-01-05 08:00:00,438.05
2024-01-05 09:00:00,2024-01-05 09:00:00,643.55
2024-01-05 10:00:00,2024-01-05 10:00:00,789.15
2024-01-05 11:00:00,2024-01-05 11:00:00,819.83
2024-01-05 12:00:00,2024-01-05 12:00:00,740.88
2024-01-05 13:00:00,2024-01-05 13:00:00,712.35
2024-01-05 14:00:00,2024-01-05 14:00:00,591.1
2024-01-05 15:00:00,2024-01-05 15:00:00,391.58
2024-01-05 16:00:00,2024-01-05 16:00:00,211.15
2024-01-05 17:00:00,2024-01-05 17:00:00,48.1
2024-01-05 18:00:00,2024-01-05 18:00:00,0.0
2024-01-05 19:00:00,2024-01-05 19:00:00,0.0
2024-01-05 20:00:00,2024-01-05 20:00:00,0.0
2024-01-05 21:00:00,2024-01-05 21:00:00,0.0
2024-01-05 22:00:00,2024-01-05 22:00:00,0.0
2024-01-05 23:00:00,2024-01-05 23:00:00,0.0
2024-01-06 00:00:00,2024-01-06 00:00:00,0.0
2024-01-06 01:00:00,2024-01-06 01:00:00,0.0
2024-01-06 02:00:00,2024-01-06 02:00:00,0.0
2024-01-06 03:00:00,2024-01-06 03:00:00,0.0
2024-01-06 04:00:00,2024-01-06 04:00:00,0.0
2024-01-06 05:00:00,2024-01-06 05:00:00,0.0
2024-01-06 06:00:00,2024-01-06 06:00:00,25.8
2024-01-06 07:00:00,2024-01-06 07:00:00,222.32
2024-01-06 08:00:00,2024-01-06 08:00:00,470.6
2024-01-06 09:00:00,2024-01-06 09:00:00,695.97
2024-01-06 10:00:00,2024-01-06 10:00:00,849.65
2024-01-06 11:00:00,2024-01-06 11:00:00,932.85
2024-01-06 12:00:00,2024-01-06 12:00:00,941.2
2024-01-06 13:00:00,2024-01-06 13:00:00,853.15
2024-01-06 14:00:00,2024-01-06 14:00:00,685.47
2024-01-06 15:00:00,2024-01-06 15:00:00,476.38
2024-01-06 16:00:00,2024-01-06 16:00:00,252.12
2024-01-06 17:00:00,2024-01-06 17:00:00,57.28
2024-01-06 18:00:00,2024-01-06 18:00:00,0.0
2024-01-06 19:00:00,2024-01-06 19:00:00,0.0
2024-01-06 20:00:00,2024-01-06 20:00:00,0.0
2024-01-06 21:00:00,2024-01-06 21:00:00,0.0
2024-01-06 22:00:00,2024-01-06 22:00:00,0.0
2024-01-06 23:00:00,2024-01-06 23:00:00,0.0
2024-01-07 00:00:00,2024-01-07 00:00:00,0.0
2024-01-07 01:00:00,2024-01-07 01:00:00,0.0
2024-01-07 02:00:00,2024-01-07 02:00:00,0.0
2024-01-07 03:00:00,2024-01-07 03:00:00,0.0
2024-01-07 04:00:00,2024-01-07 04:00:00,0.0
2024-01-07 05:00:00,2024-01-07 05:00:00,0.0
2024-01-07 06:00:00,2024-01-07 06:00:00,21.83
2024-01-07 07:00:00,2024-01-07 07:00:00,186.12
2024-01-07 08:00:00,2024-01-07 08:00:00,382.7
2024-01-07 09:00:00,2024-01-07 09:00:00,598.08
2024-01-07 10:00:00,2024-01-07 10:00:00,755.75
2024-01-07 11:00:00,2024-01-07 11:00:00,874.12
2024-01-07 12:00:00,2024-01-07 12:00:00,889.85
2024-01-07 13:00:00,2024-01-07 13:00:00,827.2
2024-01-07 14:00:00,2024-01-07 14:00:00,679.0
2024-01-07 15:00:00,2024-01-07 15:00:00,488.7
2024-01-07 16:00:00,2024-01-07 16:00:00,260.35
2024-01-07 17:00:00,2024-01-07 17:00:00,56.3
2024-01-07 18:00:00,2024-01-07 18:00:00,0.0
2024-01-07 19:00:00,2024-01-07 19:00:00,0.0
2024-01-07 20:00:00,2024-01-07 20:00:00,0.0
2024-01-07 21:00:00,2024-01-07 21:00:00,0.0
2024-01-07 22:00:00,2024-01-07 22:00:00,0.0
2024-01-07 23:00:00,2024-01-07 23:00:00,0.0
2024-01-08 00:00:00,2024-01-08 00:00:00,0.0
2024-01-08 01:00:00,2024-01-08 01:00:00,0.0
2024-01-08 02:00:00,2024-01-08 02:00:00,0.0
2024-01-08 03:00:00,2024-01-08 03:00:00,0.0
2024-01-08 04:00:00,2024-01-08 04:00:00,0.0
2024-01-08 05:00:00,2024-01-08 05:00:00,0.0
2024-01-08 06:00:00,2024-01-08 06:00:00,20.75
2024-01-08 07:00:00,2024-01-08 07:00:00,178.1
2024-01-08 08:00:00,2024-01-08 08:00:00,354.7
2024-01-08 09:00:00,2024-01-08 09:00:00,522.88
2024-01-08 10:00:00,2024-01-08 10:00:00,727.97
2024-01-08 11:00:00,2024-01-08 11:00:00,810.0
2024-01-08 12:00:00,2024-01-08 12:00:00,847.4
2024-01-08 13:00:00,2024-01-08 13:00:00,795.35
2024-01-08 14:00:00,2024-01-08 14:00:00,542.67
2024-01-08 15:00:00,2024-01-08 15:00:00,447.73
2024-01-08 16:00:00,2024-01-08 16:00:00,243.82
2024-01-08 17:00:00,2024-01-08 17:00:00,56.4
2024-01-08 18:00:00,2024-01-08 18:00:00,0.0
2024-01-08 19:00:00,2024-01-08 19:00:00,0.0
2024-01-08 20:00:00,2024-01-08 20:00:00,0.0
2024-01-08 21:00:00,2024-01-08 21:00:00,0.0
2024-01-08 22:00:00,2024-01-08 22:00:00,0.0
2024-01-08 23:00:00,2024-01-08 23:00:00,0.0
2024-01-09 00:00:00,2024-01-09 00:00:00,0.0
2024-01-09 01:00:00,2024-01-09 01:00:00,0.0
2024-01-09 02:00:00,2024-01-09 02:00:00,0.0
2024-01-09 03:00:00,2024-01-09 03:00:00,0.0
2024-01-09 04:00:00,2024-01-09 04:00:00,0.0
2024-01-09 05:00:00,2024-01-09 05:00:00,0.0
2024-01-09 06:00:00,2024-01-09 06:00:00,19.7
2024-01-09 07:00:00,2024-01-09 07:00:00,162.05
2024-01-09 08:00:00,2024-01-09 08:00:00,329.02
2024-01-09 09:00:00,2024-01-09 09:00:00,466.77
2024-01-09 10:00:00,2024-01-09 10:00:00,613.33
2024-01-09 11:00:00,2024-01-09 11:00:00,782.1
2024-01-09 12:00:00,2024-01-09 12:00:00,850.92
2024-01-09 13:00:00,2024-01-09 13:00:00,729.78
2024-01-09 14:00:00,2024-01-09 14:00:00,642.0
2024-01-09 15:00:00,2024-01-09 15:00:00,455.58
2024-01-09 16:00:00,2024-01-09 16:00:00,243.35
2024-01-09 17:00:00,2024-01-09 17:00:00,57.28
2024-01-09 18:00:00,2024-01-09 18:00:00,0.0
2024-01-09 19:00:00,2024-01-09 19:00:00,0.0
2024-01-09 20:00:00,2024-01-09 20:00:00,0.0
2024-01-09 21:00:00,2024-01-09 21:00:00,0.0
2024-01-09 22:00:00,2024-01-09 22:00:00,0.0
2024-01-09 23:00:00,2024-01-09 23:00:00,0.0
2024-01-10 00:00:00,2024-01-10 00:00:00,0.0
2024-01-10 01:00:00,2024-01-10 01:00:00,0.0
2024-01-10 02:00:00,2024-01-10 02:00:00,0.0
2024-01-10 03:00:00,2024-01-10 03:00:00,0.0
2024-01-10 04:00:00,2024-01-10 04:00:00,0.0
2024-01-10 05:00:00,2024-01-10 05:00:00,0.0
2024-01-10 06:00:00,2024-01-10 06:00:00,16.62
2024-01-10 07:00:00,2024-01-10 07:00:00,137.38
2024-01-10 08:00:00,2024-01-10 08:00:00,282.88
2024-01-10 09:00:00,2024-01-10 09:00:00,461.02
2024-01-10 10:00:00,2024-01-10 10:00:00,642.42
2024-01-10 11:00:00,2024-01-10 11:00:00,715.0
2024-01-10 12:00:00,2024-01-10 12:00:00,724.62
2024-01-10 13:00:00,2024-01-10 13:00:00,631.85
2024-01-10 14:00:00,2024-01-10 14:00:00,559.35
2024-01-10 15:00:00,2024-01-10 15:00:00,379.08
2024-01-10 16:00:00,2024-01-10 16:00:00,201.43
2024-01-10 17:00:00,2024-01-10 17:00:00,50.0
2024-01-10 18:00:00,2024-01-10 18:00:00,0.0
2024-01-10 19:00:00,2024-01-10 19:00:00,0.0
2024-01-10 20:00:00,2024-01-10 20:00:00,0.0
2024-01-10 21:00:00,2024-01-10 21:00:00,0.0
2024-01-10 22:00:00,2024-01-10 22:00:00,0.0
2024-01-10 23:00:00,2024-01-10 23:00:00,0.0
2024-01-11 00:00:00,2024-01-11 00:00:00,0.0
2024-01-11 01:00:00,2024-01-11 01:00:00,0.0
2024-01-11 02:00:00,2024-01-11 02:00:00,0.0
2024-01-11 03:00:00,2024-01-11 03:00:00,0.0
2024-01-11 04:00:00,2024-01-11 04:00:00,0.0
2024-01-11 05:00:00,2024-01-11 05:00:00,0.0
2024-01-11 06:00:00,2024-01-11 06:00:00,18.83
2024-01-11 07:00:00,2024-01-11 07:00:00,179.35
2024-01-11 08:00:00,2024-01-11 08:00:00,379.95
2024-01-11 09:00:00,2024-01-11 09:00:00,583.03
2024-01-11 10:00:00,2024-01-11 10:00:00,725.28
2024-01-11 11:00:00,2024-01-11 11:00:00,787.62
2024-01-11 12:00:00,2024-01-11 12:00:00,836.67
2024-01-11 13:00:00,2024-01-11 13:00:00,770.3
2024-01-11 14:00:00,2024-01-11 14:00:00,622.95
