,Storage (kWh),PV size (qm),capex,co2
0,10,20,44064.15,34693.3
1,10,25,42314.08,31189.0
2,10,30,40729.91,28621.5
3,10,35,39351.74,27101.7
4,10,40,37963.15,26073.3
5,10,45,36480.36,25320.8
6,10,50,34865.76,24748.0
7,10,55,33107.81,24325.4
8,10,60,31184.52,23996.7
9,10,65,29076.65,23712.9
10,10,70,26774.63,23449.4
11,10,75,24272.71,23191.6
12,10,80,21567.87,22931.8
13,10,85,18662.62,22676.4
14,10,90,15563.02,22440.9
15,10,95,12272.35,22233.6
16,10,100,8790.23,22053.6
17,20,20,44064.15,34693.3
18,20,25,42268.64,31069.9
19,20,30,40564.41,28187.9
20,20,35,39138.51,26543.0
21,20,40,37739.68,25487.7
22,20,45,36254.33,24728.5
23,20,50,34639.15,24154.2
24,20,55,32881.21,23731.6
25,20,60,30957.92,23402.9
26,20,65,28850.01,23119.0
27,20,70,26547.87,22855.2
28,20,75,24045.86,22597.2
29,20,80,21341.12,22337.7
30,20,85,18436.01,22082.6
31,20,90,15336.41,21847.1
32,20,95,12045.75,21639.8
33,20,100,8563.63,21459.8
34,30,20,44064.15,34693.3
35,30,25,42240.92,30997.3
36,30,30,40416.07,27799.2
37,30,35,38930.22,25997.2
38,30,40,37516.99,24904.2
39,30,45,36029.02,24138.1
40,30,50,34412.56,23560.5
41,30,55,32654.61,23137.8
42,30,60,30731.31,22809.2
43,30,65,28623.4,22525.2
44,30,70,26321.15,22261.1
45,30,75,23819.04,22002.8
46,30,80,21114.52,21743.9
47,30,85,18209.41,21488.9
48,30,90,15109.81,21253.3
49,30,95,11819.14,21046.0
50,30,100,8337.03,20866.0
51,40,20,44064.15,34693.3
52,40,25,42226.44,30959.4
53,40,30,40287.16,27461.4
54,40,35,38727.94,25467.1
55,40,40,37295.93,24324.9
56,40,45,35804.01,23548.5
57,40,50,34186.08,22967.0
58,40,55,32428.0,22544.1
59,40,60,30504.71,22215.4
60,40,65,28396.8,21931.4
61,40,70,26094.49,21667.2
62,40,75,23592.39,21408.9
63,40,80,20887.92,21150.1
64,40,85,17982.81,20895.1
65,40,90,14883.2,20659.5
66,40,95,11592.54,20452.3
67,40,100,8110.42,20272.3
68,50,20,44064.15,34693.3
69,50,25,42220.46,30943.7
70,50,30,40177.51,27174.1
71,50,35,38531.92,24953.5
72,50,40,37076.88,23750.9
73,50,45,35579.37,22959.9
74,50,50,33959.84,22374.2
75,50,55,32201.4,21950.3
76,50,60,30278.1,21621.6
77,50,65,28170.2,21337.6
78,50,70,25867.89,21073.4
79,50,75,23365.78,20815.1
80,50,80,20661.31,20556.3
81,50,85,17756.2,20301.3
82,50,90,14656.6,20065.8
83,50,95,11365.93,19858.5
84,50,100,7883.82,19678.5
85,60,20,44064.15,34693.3
86,60,25,42218.02,30937.3
87,60,30,40090.3,26945.5
88,60,35,38344.24,24461.7
89,60,40,36860.5,23183.9
90,60,45,35355.16,22372.4
91,60,50,33733.97,21782.3
92,60,55,31974.79,21356.5
93,60,60,30051.5,21027.8
94,60,65,27943.59,20743.9
95,60,70,25641.29,20479.6
96,60,75,23139.18,20221.4
97,60,80,20434.71,19962.5
98,60,85,17529.6,19707.5
99,60,90,14430.0,19472.0
100,60,95,11139.33,19264.7
101,60,100,7657.22,19084.7
102,70,20,44064.15,34693.3
103,70,25,42217.63,30936.3
104,70,30,40023.76,26771.2
105,70,35,38167.4,23998.3
106,70,40,36646.29,22622.6
107,70,45,35131.54,21786.4
108,70,50,33508.5,21191.5
109,70,55,31748.19,20762.7
110,70,60,29824.9,20434.0
111,70,65,27716.99,20150.1
112,70,70,25414.68,19885.9
113,70,75,22912.58,19627.6
114,70,80,20208.1,19368.8
115,70,85,17302.99,19113.7
116,70,90,14203.39,18878.2
117,70,95,10912.73,18670.9
118,70,100,7430.61,18490.9
119,80,20,44064.15,34693.3
120,80,25,42217.63,30936.3
121,80,30,39973.67,26639.9
122,80,35,38002.65,23566.6
123,80,40,36435.89,22071.3
124,80,45,34909.06,21203.4
125,80,50,33283.37,20601.6
126,80,55,31521.59,20168.9
127,80,60,29598.29,19840.3
128,80,65,27490.39,19556.3
129,80,70,25188.08,19292.1
130,80,75,22685.97,19033.8
131,80,80,19981.5,18775.0
132,80,85,17076.39,18520.0
133,80,90,13976.79,18284.4
134,80,95,10686.12,18077.1
135,80,100,7204.01,17897.1
