time,dhw,heating,T_amb,dhw_in_T
2020-01-01 00:00:00,0.0,0.0,2.13,13.61
2020-01-01 00:15:00,0.0,0.0,2.17,13.59
2020-01-01 00:30:00,0.0,0.0,2.22,13.57
2020-01-01 00:45:00,0.0,0.0,2.26,13.55
2020-01-01 01:00:00,0.0,0.0,2.3,13.53
2020-01-01 01:15:00,0.0,0.0,2.34,13.51
2020-01-01 01:30:00,0.0,0.0,2.39,13.49
2020-01-01 01:45:00,0.0,0.0,2.43,13.47
2020-01-01 02:00:00,0.0,0.0,2.47,13.45
2020-01-01 02:15:00,0.00067,0.0,2.47,13.43
2020-01-01 02:30:00,0.0,0.0,2.46,13.41
2020-01-01 02:45:00,0.0,0.0,2.46,13.39
2020-01-01 03:00:00,0.0,0.0,2.45,13.36
2020-01-01 03:15:00,0.0,0.0,2.4,13.34
2020-01-01 03:30:00,0.002,0.0,2.34,13.32
2020-01-01 03:45:00,0.00033,0.0,2.29,13.3
2020-01-01 04:00:00,0.002,0.0,2.23,13.27
2020-01-01 04:15:00,0.0,0.0,2.18,13.25
2020-01-01 04:30:00,0.00067,0.0,2.14,13.23
2020-01-01 04:45:00,0.00033,0.0,2.09,13.2
2020-01-01 05:00:00,0.0016699999999999998,0.0,2.04,13.18
2020-01-01 05:15:00,0.00467,0.0,2.05,13.15
2020-01-01 05:30:00,0.00333,0.0,2.06,13.13
2020-01-01 05:45:00,0.01087,0.0,2.06,13.1
2020-01-01 06:00:00,0.01307,0.004,2.07,13.07
2020-01-01 06:15:00,0.0258,0.008,2.04,13.05
2020-01-01 06:30:00,0.018600000000000002,0.016,2.01,13.02
2020-01-01 06:45:00,0.02007,0.016,1.98,12.99
2020-01-01 07:00:00,0.01847,0.016,1.95,12.97
2020-01-01 07:15:00,0.00907,0.012,1.81,12.94
2020-01-01 07:30:00,0.00507,0.012,1.67,12.91
2020-01-01 07:45:00,0.0092,0.012,1.53,12.88
2020-01-01 08:00:00,0.00567,0.012,1.39,12.85
2020-01-01 08:15:00,0.011130000000000001,0.012,1.38,12.82
2020-01-01 08:30:00,0.011529999999999999,0.004,1.37,12.79
2020-01-01 08:45:00,0.01073,0.008,1.36,12.76
2020-01-01 09:00:00,0.011130000000000001,0.004,1.35,12.74
2020-01-01 09:15:00,0.00647,0.004,1.41,12.7
2020-01-01 09:30:00,0.016730000000000002,0.004,1.47,12.67
2020-01-01 09:45:00,0.0146,0.0,1.53,12.64
2020-01-01 10:00:00,0.00533,0.0,1.59,12.61
2020-01-01 10:15:00,0.0036,0.0,1.7,12.58
2020-01-01 10:30:00,0.00107,0.004,1.81,12.55
2020-01-01 10:45:00,0.0014,0.004,1.92,12.52
2020-01-01 11:00:00,0.00267,0.012,2.03,12.49
2020-01-01 11:15:00,0.00547,0.008,2.15,12.45
2020-01-01 11:30:00,0.00747,0.016,2.27,12.42
2020-01-01 11:45:00,0.008400000000000001,0.02,2.39,12.39
2020-01-01 12:00:00,0.00933,0.016,2.51,12.36
2020-01-01 12:15:00,0.00567,0.02,2.61,12.32
2020-01-01 12:30:00,0.00307,0.008,2.71,12.29
2020-01-01 12:45:00,0.0078,0.012,2.8,12.25
2020-01-01 13:00:00,0.00547,0.012,2.9,12.22
2020-01-01 13:15:00,0.0068,0.008,2.99,12.19
2020-01-01 13:30:00,0.00847,0.008,3.08,12.15
2020-01-01 13:45:00,0.00367,0.008,3.16,12.12
2020-01-01 14:00:00,0.0016699999999999998,0.008,3.25,12.08
2020-01-01 14:15:00,0.00713,0.008,3.24,12.05
2020-01-01 14:30:00,0.009470000000000001,0.008,3.24,12.01
2020-01-01 14:45:00,0.00073,0.004,3.23,11.98
2020-01-01 15:00:00,0.003,0.004,3.22,11.94
2020-01-01 15:15:00,0.01033,0.0,3.0,11.9
2020-01-01 15:30:00,0.00367,0.004,2.78,11.87
2020-01-01 15:45:00,0.011470000000000001,0.008,2.56,11.83
2020-01-01 16:00:00,0.011,0.0,2.34,11.79
2020-01-01 16:15:00,0.0106,0.008,2.11,11.76
2020-01-01 16:30:00,0.003,0.004,1.88,11.72
2020-01-01 16:45:00,0.00267,0.008,1.64,11.68
2020-01-01 17:00:00,0.00433,0.008,1.41,11.65
2020-01-01 17:15:00,0.00233,0.008,1.25,11.61
2020-01-01 17:30:00,0.00107,0.012,1.09,11.57
2020-01-01 17:45:00,0.00267,0.008,0.92,11.53
2020-01-01 18:00:00,0.00707,0.008,0.76,11.49
2020-01-01 18:15:00,0.00233,0.016,0.64,11.46
2020-01-01 18:30:00,0.0014,0.008,0.52,11.42
2020-01-01 18:45:00,0.00233,0.012,0.39,11.38
2020-01-01 19:00:00,0.00033,0.008,0.27,11.34
2020-01-01 19:15:00,0.003,0.012,0.08,11.3
2020-01-01 19:30:00,0.003,0.008,-0.11,11.26
2020-01-01 19:45:00,0.00233,0.008,-0.29,11.22
2020-01-01 20:00:00,0.004,0.004,-0.48,11.19
2020-01-01 20:15:00,0.00133,0.008,-0.52,11.15
2020-01-01 20:30:00,0.0,0.012,-0.55,11.11
2020-01-01 20:45:00,0.00313,0.008,-0.59,11.07
2020-01-01 21:00:00,0.0108,0.008,-0.62,11.03
2020-01-01 21:15:00,0.003,0.008,-0.6,10.99
2020-01-01 21:30:00,0.0,0.004,-0.58,10.95
2020-01-01 21:45:00,0.003,0.004,-0.55,10.91
2020-01-01 22:00:00,0.00067,0.0,-0.53,10.87
2020-01-01 22:15:00,0.0,0.004,-0.56,10.83
2020-01-01 22:30:00,0.0,0.004,-0.6,10.79
2020-01-01 22:45:00,0.0,0.0,-0.63,10.75
2020-01-01 23:00:00,0.0,0.0,-0.66,10.71
2020-01-01 23:15:00,0.0,0.0,-0.71,10.67
2020-01-01 23:30:00,0.0,0.0,-0.75,10.63
2020-01-01 23:45:00,0.0,0.0,-0.8,10.58
2020-01-02 00:00:00,0.0,0.0,10.87,13.7
2020-01-02 00:15:00,0.0,0.0,10.89,13.71
2020-01-02 00:30:00,0.0,0.0,10.9,13.73
2020-01-02 00:45:00,0.0,0.0,10.92,13.74
2020-01-02 01:00:00,0.0,0.0,10.93,13.76
2020-01-02 01:15:00,0.0,0.0,10.91,13.77
2020-01-02 01:30:00,0.0,0.0,10.89,13.78
2020-01-02 01:45:00,0.0,0.0,10.87,13.8
